Job Category,Max_Salary,Min_Salary
"Administration & Human Resources Technology, Data & Innovation Policy, Research & Analysis Public Safety, Inspections, & Enforcement",75591.0,65731.0
Clerical & Administrative Support Legal,60611.0,37492.0
"Finance, Accounting, & Procurement Health",72360.0,58440.0
"Engineering, Architecture, & Planning Maintenance & Operations",198518.0,198518.0
"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",68244.0,45491.0
"Administration & Human Resources Communications & Intergovernmental Affairs Health Public Safety, Inspections, & Enforcement",98908.0,65374.0
"Administration & Human Resources Finance, Accounting, & Procurement",224749.0,43473.0
Health,225217.0,2690.6528000000003
"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",3152.16,2741.1472
Administration & Human Resources Legal Affairs,103663.0,2728.0
"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement",83981.0,54100.0
"Constituent Services & Community Programs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",65000.0,52524.0
"Engineering, Architecture, & Planning Policy, Research & Analysis",194395.0,45617.0
Health Social Services,81000.0,69300.0
"Policy, Research & Analysis Social Services",115000.0,60435.0
Clerical & Administrative Support,62779.0,1540.0
"Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",61847.0,41061.0
"Administration & Human Resources Engineering, Architecture, & Planning Policy, Research & Analysis",105000.0,63309.0
"Engineering, Architecture, & Planning Technology, Data & Innovation",194395.0,47974.0
"Administration & Human Resources Legal Affairs Public Safety, Inspections, & Enforcement",46316.0,40275.0
Administration & Human Resources Communications & Intergovernmental Affairs,58478.0,37251.0
"Technology, Data & Innovation",234402.0,0.0
"Administration & Human Resources Technology, Data & Innovation Policy, Research & Analysis",63031.0,62862.0
"Health Public Safety, Inspections, & Enforcement",100719.0,2640.0
"Constituent Services & Community Programs Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",63000.0,60000.0
"Constituent Services & Community Programs Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",15165.8848,5511.1232
Administration & Human Resources Constituent Services & Community Programs Legal Affairs,100000.0,80000.0
"Health Policy, Research & Analysis",130939.0,62272.0
Community & Business Services Social Services,75900.0,48895.0
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",209585.0,175000.0
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis Social Services",115000.0,2728.0
"Administration & Human Resources Finance, Accounting, & Procurement Technology, Data & Innovation Building Operations & Maintenance Policy, Research & Analysis Public Safety, Inspections, & Enforcement",158000.0,78574.0
"Engineering, Architecture, & Planning Building Operations & Maintenance",135000.0,10707.84
"Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",114379.0,46856.0
"Health Building Operations & Maintenance Public Safety, Inspections, & Enforcement",73039.0,57148.0
"Technology, Data & Innovation Legal Affairs",74356.0,41551.0
Constituent Services & Community Programs Legal Affairs,58688.0,41939.0
"Finance, Accounting, & Procurement Policy, Research & Analysis Public Safety, Inspections, & Enforcement",89610.0,56013.0
Constituent Services & Community Programs Social Services,110000.0,5059.7888
"Administration & Human Resources Technology, Data & Innovation",76677.0,3692.7264
Legal,40495.0,35213.0
"Constituent Services & Community Programs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",85646.0,57078.0
"Constituent Services & Community Programs Policy, Research & Analysis",103000.0,2376.0
"Legal Affairs Policy, Research & Analysis",140000.0,0.0
"Constituent Services & Community Programs Technology, Data & Innovation Public Safety, Inspections, & Enforcement Social Services",2728.0,2728.0
Administration & Human Resources Constituent Services & Community Programs,100000.0,50000.0
"Finance, Accounting, & Procurement",187000.0,0.0
Policy & Analysis Social Services,89008.0,60049.0
Constituent Services & Community Programs Communications & Intergovernmental Affairs,140000.0,40000.0
"Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",135000.0,115000.0
"Administration & Human Resources Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",91563.0,79620.0
"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",180000.0,46010.0
Administration & Human Resources,178873.0,2640.0
"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",95270.0,8615.2
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis",54879.0,33875.0
"Finance, Accounting, & Procurement Technology, Data & Innovation",68244.0,50078.0
"Engineering, Architecture, & Planning",217244.0,8006.240000000001
"Engineering, Architecture, & Planning Technology, Data & Innovation Public Safety, Inspections, & Enforcement",186555.0,69940.0
"Technology, Data & Innovation Social Services",153017.0,36390.0
Legal Affairs Social Services,72500.0,62397.0
"Finance, Accounting, & Procurement Policy, Research & Analysis",156829.0,40017.0
Community & Business Services,71000.0,43118.0
"Administration & Human Resources Health Public Safety, Inspections, & Enforcement",54879.0,33875.0
Administration & Human Resources Building Operations & Maintenance,120000.0,35330.0
Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,150371.0,56990.0
"Policy, Research & Analysis",224749.0,0.0
Social Services,145991.0,4771.940799999999
Constituent Services & Community Programs Health Social Services,82019.0,71321.0
"Communications & Intergovernmental Affairs Technology, Data & Innovation",85000.0,65000.0
"Technology, Data & Innovation Building Operations & Maintenance",72478.0,49741.0
Clerical & Administrative Support Policy & Analysis,92704.0,62260.0
"Communications & Intergovernmental Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",85000.0,75000.0
"Administration & Human Resources Health Technology, Data & Innovation",98818.92,0.0
Health Building Operations & Maintenance,44974.0,31921.0
"Health Technology, Data & Innovation",111000.0,75000.0
"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",103332.0,43799.0
"Administration & Human Resources Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",36309.0,31573.0
Communications & Intergovernmental Affairs,202744.0,2816.0
"Administration & Human Resources Policy, Research & Analysis",185000.0,44142.0
"Administration & Human Resources Constituent Services & Community Programs Finance, Accounting, & Procurement Social Services",66875.0,58152.0
"Administration & Human Resources Finance, Accounting, & Procurement Policy, Research & Analysis",100000.0,85000.0
"Public Safety, Inspections, & Enforcement",202744.0,2643.9424
"Finance, Accounting, & Procurement Social Services",62834.0,54638.0
"Finance, Accounting, & Procurement Information Technology & Telecommunications",53000.0,43292.0
"Administration & Human Resources Public Safety, Inspections, & Enforcement",170000.0,30028.0
"Technology, Data & Innovation Policy, Research & Analysis",130000.0,32850.0
"Administration & Human Resources Policy, Research & Analysis Public Safety, Inspections, & Enforcement",46000.0,36677.0
Clerical & Administrative Support Community & Business Services,72000.0,53373.0
Administration & Human Resources Health,83981.0,44142.0
"Constituent Services & Community Programs Engineering, Architecture, & Planning",106222.0,52524.0
Legal Policy & Analysis,87027.0,57005.0
"Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",65625.0,57065.0
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",61936.0,37217.0
"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",234402.0,55000.0
"Finance, Accounting, & Procurement Policy & Analysis",64927.0,56458.0
"Communications & Intergovernmental Affairs Policy, Research & Analysis",99000.0,54643.0
"Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",85000.0,75000.0
"Administration & Human Resources Public Safety, Inspections, & Enforcement Social Services",62320.0,55150.0
Administration & Human Resources Constituent Services & Community Programs Social Services,2728.0,2728.0
"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",178873.0,48399.0
"Legal Affairs Public Safety, Inspections, & Enforcement",100000.0,70000.0
Information Technology & Telecommunications,134914.0,45174.0
Communications & Intergovernmental Affairs Building Operations & Maintenance Social Services,40962.0,31573.0
"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",66739.0,44104.0
